AwayWinRate,CompetitionName,Country,DrawRate,HomeWinRate,Matchsplayed,Matchsremaining,url
21%,Tercera Division - Group 12 2018/2019,Spain,30%,49%,310,70,https://www.betexplorer.com/soccer/spain/tercera-division-group-12/stats/
,,,,,,,
27%,Tercera Division - Group 13 2018/2019,Spain,27%,46%,374,88,https://www.betexplorer.com/soccer/spain/tercera-division-group-13/stats/
,,,,,,,
29%,Tercera Division - Group 8 2018/2019,Spain,27%,44%,309,71,https://www.betexplorer.com/soccer/spain/tercera-division-group-8/stats/
,,,,,,,
27%,Tercera Division - Group 10 2018/2019,Spain,28%,45%,396,66,https://www.betexplorer.com/soccer/spain/tercera-division-group-10/stats/
,,,,,,,
29%,Tercera Division - Group 9 2018/2019,Spain,23%,48%,395,67,https://www.betexplorer.com/soccer/spain/tercera-division-group-9/stats/
,,,,,,,
30%,Tercera Division - Group 11 2018/2019,Spain,25%,45%,340,80,https://www.betexplorer.com/soccer/spain/tercera-division-group-11/stats/
,,,,,,,
24%,Tercera Division - Group 4 2018/2019,Spain,32%,45%,310,70,https://www.betexplorer.com/soccer/spain/tercera-division-group-4/stats/
,,,,,,,
24%,Segunda Division B - Group 3 2018/2019,Spain,37%,39%,317,63,https://www.betexplorer.com/soccer/spain/segunda-division-b-group-3/stats/
,,,,,,,
32%,Tercera Division - Group 1 2018/2019,Spain,27%,41%,300,80,https://www.betexplorer.com/soccer/spain/tercera-division-group-1/stats/
,,,,,,,
28%,Segunda Division B - Group 4 2018/2019,Spain,28%,43%,310,70,https://www.betexplorer.com/soccer/spain/segunda-division-b-group-4/stats/
,,,,,,,
23%,Segunda Division B - Group 1 2018/2019,Spain,31%,46%,310,70,https://www.betexplorer.com/soccer/spain/segunda-division-b-group-1/stats/
,,,,,,,
29%,Tercera Division - Group 3 2018/2019,Spain,26%,45%,310,70,https://www.betexplorer.com/soccer/spain/tercera-division-group-3/stats/
,,,,,,,
21%,LaLiga2 2018/2019,Spain,33%,45%,352,100,https://www.betexplorer.com/soccer/spain/laliga2/stats/
,,,,,,,
33%,Tercera Division - Group 5 2018/2019,Spain,27%,41%,350,70,https://www.betexplorer.com/soccer/spain/tercera-division-group-5/stats/
,,,,,,,
25%,Tercera Division - Group 6 2018/2019,Spain,31%,45%,310,70,https://www.betexplorer.com/soccer/spain/tercera-division-group-6/stats/
,,,,,,,
21%,Premier League 2018/2019,Sudan,32%,48%,107,5,https://www.betexplorer.com/soccer/sudan/premier-league/stats/
,,,,,,,
26%,Segunda Division B - Group 2 2018/2019,Spain,34%,40%,310,70,https://www.betexplorer.com/soccer/spain/segunda-division-b-group-2/stats/
,,,,,,,
32%,Tercera Division - Group 2 2018/2019,Spain,24%,44%,310,70,https://www.betexplorer.com/soccer/spain/tercera-division-group-2/stats/
,,,,,,,
29%,LaLiga 2018/2019,Spain,30%,41%,293,87,https://www.betexplorer.com/soccer/spain/laliga/stats/
,,,,,,,
31%,Tercera Division - Group 7 2018/2019,Spain,27%,42%,310,70,https://www.betexplorer.com/soccer/spain/tercera-division-group-7/stats/
,,,,,,,
33%,Champions League 2018/2019,Sri Lanka,22%,45%,136,0,https://www.betexplorer.com/soccer/sri-lanka/champions-league/stats/
,,,,,,,
61%,Slovak Cup 2018/2019,Slovakia,15%,24%,235,3,https://www.betexplorer.com/soccer/slovakia/slovak-cup/stats/
,,,,,,,
29%,Divison C Central 2018/2019,Slovakia,21%,51%,136,104,https://www.betexplorer.com/soccer/slovakia/divison-c-central/stats/
,,,,,,,
37%,Divison C Bratislava 2018/2019,Slovakia,16%,47%,150,90,https://www.betexplorer.com/soccer/slovakia/divison-c-bratislava/stats/
,,,,,,,
32%,Divison C East 2018/2019,Slovakia,11%,58%,133,66,https://www.betexplorer.com/soccer/slovakia/divison-c-east/stats/
,,,,,,,
40%,Premier League 2019,Singapore,20%,40%,15,93,https://www.betexplorer.com/soccer/singapore/premier-league/stats/
,,,,,,,
0%,Singapore Community Shield 2019,Singapore,100%,0%,1,0,https://www.betexplorer.com/soccer/singapore/singapore-community-shield/stats/
,,,,,,,
29%,Divison C West 2018/2019,Slovakia,23%,48%,148,78,https://www.betexplorer.com/soccer/slovakia/divison-c-west/stats/
,,,,,,,
24%,2. liga 2018/2019,Slovakia,24%,52%,168,72,https://www.betexplorer.com/soccer/slovakia/2-liga/stats/
,,,,,,,
17%,Fortuna liga 2018/2019,Slovakia,33%,50%,6,24,https://www.betexplorer.com/soccer/slovakia/fortuna-liga/stats/
,,,,,,,
26%,Prva liga 2005/2006,Serbia and Montenegro,21%,53%,240,0,https://www.betexplorer.com/soccer/serbia-and-montenegro/prva-liga/stats/
,,,,,,,
27%,Division One 2019,Seychelles,9%,64%,11,2,https://www.betexplorer.com/soccer/seychelles/division-one/stats/
,,,,,,,
43%,Serbian Cup 2018/2019,Serbia,11%,46%,28,4,https://www.betexplorer.com/soccer/serbia/serbian-cup/stats/
,,,,,,,
27%,Prva Liga 2018/2019,Serbia,23%,50%,240,0,https://www.betexplorer.com/soccer/serbia/prva-liga/stats/
,,,,,,,
39%,Challenge Cup 2018/2019,Scotland,27%,34%,57,0,https://www.betexplorer.com/soccer/scotland/challenge-cup/stats/
,,,,,,,
47%,Betfred Cup 2018/2019,Scotland,13%,40%,15,0,https://www.betexplorer.com/soccer/scotland/betfred-cup/stats/
,,,,,,,
25%,National Football league 2018/2019,Rwanda,25%,50%,175,65,https://www.betexplorer.com/soccer/rwanda/national-football-league/stats/
,,,,,,,
25%,FNL Cup 2019,Russia,75%,0%,4,0,https://www.betexplorer.com/soccer/russia/fnl-cup/stats/
,,,,,,,
33%,FA Cup 2018/2019,Scotland,15%,53%,89,2,https://www.betexplorer.com/soccer/scotland/fa-cup/stats/
,,,,,,,
